run,selector,real_parser,system,stsr,false_allow_rate,false_block_rate,detection_recall,mean_tokens_per_execution,total_tokens,traceability,stability,top1,top3,mrr,coverage,abstention_rate,selective_accuracy,false_reuse_risk
confirmatory,OpenRouterClient,False,A,0.0,0.3333333333333333,0.46846846846846846,0.6666666666666666,198.23333333333332,71364,0.19,1.0,0.0,0.0,0.0,1.0,0.0,0.3050847457627119,0.6949152542372882
confirmatory,OpenRouterClient,False,B,0.5166666666666667,0.8888888888888888,0.018018018018018018,0.1111111111111111,230.34722222222223,82925,0.35875,1.0,0.8898305084745762,0.8898305084745762,0.8898305084745762,1.0,0.0,0.8898305084745762,0.11016949152542373
confirmatory,OpenRouterClient,False,C,0.7,0.1111111111111111,0.07207207207207207,0.8888888888888888,0.0,0,0.8025,1.0,0.7796610169491526,0.940677966101695,0.8550590652285569,0.847457627118644,0.15254237288135594,0.78,0.22
real_parser,GroqClient,True,A,0.0,0.8888888888888888,0.22522522522522523,0.1111111111111111,185.1,66636,0.35625,1.0,0.0,0.0,0.0,1.0,0.0,0.8389830508474576,0.16101694915254236
real_parser,GroqClient,True,B,0.48333333333333334,0.8888888888888888,0.07207207207207207,0.1111111111111111,265.26944444444445,95497,0.37375,1.0,0.8983050847457628,0.8983050847457628,0.8983050847457628,1.0,0.0,0.8983050847457628,0.1016949152542373
real_parser,GroqClient,True,C,0.6333333333333333,0.1111111111111111,0.07207207207207207,0.8888888888888888,67.62222222222222,24344,0.82,1.0,0.7796610169491526,0.940677966101695,0.8550590652285569,0.9067796610169492,0.09322033898305085,0.7850467289719626,0.21495327102803738
